tweet_id,tweet_text,created_at,favorite_count,retweet_count,tweet,user_id
1589368321794887680,"RT @TheInStockRoom: Garmin fenix 6 Sapphire Multis...
Reduced from $600 to $349 for members
https://t.co/HpimENpnY5
#Deals #newDeals #savin…",2022-11-06 21:25:11+00:00,0,1,SamsClub#deals,4161180381
1589323001643864067,"Garmin fenix 6 Sapphire Multis...
Reduced from $600 to $349 for members
https://t.co/HpimENpnY5
#Deals #newDeals… https://t.co/mxqmy2wRdT",2022-11-06 18:25:06+00:00,0,1,SamsClub#deals,4161180381
1589026824419512320,"RT @TheInStockRoom: 14K Gold Oval and Round Hoop E...
Reduced from $137 to $87 for members
https://t.co/iN4DodWpZ2
#Deals #newDeals #saving…",2022-11-05 22:48:12+00:00,0,1,SamsClub#deals,4161180381
1588981704848543745,"14K Gold Oval and Round Hoop E...
Reduced from $137 to $87 for members
https://t.co/iN4DodWpZ2
#Deals #newDeals… https://t.co/DlhxShtODm",2022-11-05 19:48:54+00:00,0,1,SamsClub#deals,4161180381
1588963405939048459,"RT @TheInStockRoom: Frigidaire Chewable Nugget Ice...
Reduced from $330 to $270 for members
https://t.co/WxtTEIcCmD
#Deals #newDeals #savin…",2022-11-05 18:36:12+00:00,0,1,SamsClub#deals,4161180381
1588960379396407298,"RT @TheInStockRoom: Shark Rotator Pet Pro Lift-Awa...
Reduced from $300 to $200 for members
https://t.co/176Ru6YsJC
#Deals #newDeals #savin…",2022-11-05 18:24:10+00:00,0,1,SamsClub#deals,4161180381
1588957607158583297,"RT @TheInStockRoom: Abbyson Living Claire Leather ...
New price $799 for members
https://t.co/1dJZvIXTZS
#Deals #newDeals #savings
Follow @…",2022-11-05 18:13:09+00:00,0,1,SamsClub#deals,4161180381
1588948296441159682,"RT @TheInStockRoom: Vizio 58"" M7 Series Premium 4K...
Reduced from $770 to $379 for members
https://t.co/aUagFEaXXF
#Deals #newDeals #savin…",2022-11-05 17:36:09+00:00,0,1,SamsClub#deals,4161180381
1588945279897796608,"RT @TheInStockRoom: Sam's Club November Instant Sa...
New price Shop discounts now
https://t.co/hB3ehL7s4L
#Deals #newDeals #savings
Follow…",2022-11-05 17:24:10+00:00,0,1,SamsClub#deals,4161180381
1588918219359899649,"Frigidaire Chewable Nugget Ice...
Reduced from $330 to $270 for members
https://t.co/WxtTEIcCmD
#Deals #newDeals… https://t.co/NP2IHJr5Uk",2022-11-05 15:36:38+00:00,0,1,SamsClub#deals,4161180381
1588915232642109443,"Shark Rotator Pet Pro Lift-Awa...
Reduced from $300 to $200 for members
https://t.co/176Ru6YsJC
#Deals #newDeals… https://t.co/PtcjsQs67V",2022-11-05 15:24:46+00:00,0,1,SamsClub#deals,4161180381
1588912297266876416,"Abbyson Living Claire Leather ...
New price $799 for members
https://t.co/1dJZvIXTZS
#Deals #newDeals #savings
Foll… https://t.co/yIXqShepae",2022-11-05 15:13:06+00:00,0,1,SamsClub#deals,4161180381
1588903109635489792,"Vizio 58"" M7 Series Premium 4K...
Reduced from $770 to $379 for members
https://t.co/aUagFEaXXF
#Deals #newDeals… https://t.co/Zif06oSLiq",2022-11-05 14:36:36+00:00,0,1,SamsClub#deals,4161180381
1588900104487976962,"Sam's Club November Instant Sa...
New price Shop discounts now
https://t.co/hB3ehL7s4L
#Deals #newDeals #savings
Fo… https://t.co/IvIxWosmsu",2022-11-05 14:24:39+00:00,0,1,SamsClub#deals,4161180381
1588626225257451521,"RT @TheInStockRoom: Sam's Club Tech Savings
New price Members save on over 100 tech deals
https://t.co/wD1lEOi3dL
#Deals #newDeals #savings…",2022-11-04 20:16:22+00:00,0,1,SamsClub#deals,4161180381
1588581080499716096,"Sam's Club Tech Savings
New price Members save on over 100 tech deals
https://t.co/wD1lEOi3dL
#Deals #newDeals… https://t.co/sp8hbyJ1fK",2022-11-04 17:16:58+00:00,0,1,SamsClub#deals,4161180381
